price,date
134.3882539523102,2024-06-22 15:05:38.147
134.28736692438898,2024-06-22 16:05:47.016
134.56171122631585,2024-06-22 17:04:27.750
134.01225887861264,2024-06-22 18:08:53.137
134.0629570272465,2024-06-22 19:05:28.177
134.4078525702428,2024-06-22 20:02:49.497
134.170656731463,2024-06-22 21:09:08.570
134.51790047515394,2024-06-22 22:06:53.555
134.1566078231245,2024-06-22 23:00:23.577
133.67633964198632,2024-06-23 00:09:27.287
134.53218035770135,2024-06-23 01:03:53.814
134.81195382748578,2024-06-23 02:07:36.087
134.63828488771796,2024-06-23 03:04:58.133
134.67435170386418,2024-06-23 04:06:20.679
134.5426159869481,2024-06-23 05:01:04.700
134.34830078253586,2024-06-23 06:04:14.276
134.4142914666625,2024-06-23 07:04:05.672
134.70028953288087,2024-06-23 08:04:41.023
134.57765304595992,2024-06-23 09:07:08.826
134.4313234084971,2024-06-23 10:06:27.621
133.92537003933074,2024-06-23 11:00:31.141
133.88276865861428,2024-06-23 12:05:49.895
133.9376863692963,2024-06-23 13:02:46.940
133.4609325884974,2024-06-23 14:09:09.968
132.11137354036674,2024-06-23 15:07:52.016
131.4995736426471,2024-06-23 16:04:00.965
130.63225215802677,2024-06-23 17:05:56.556
131.28552896490274,2024-06-23 18:08:52.731
131.6611128068396,2024-06-23 19:04:45.826
131.40486657659264,2024-06-23 20:01:50.563
130.2012524192926,2024-06-23 21:04:19.809
130.48467519780775,2024-06-23 22:04:00.324
129.0387616224129,2024-06-23 23:09:48.554
128.39743277902352,2024-06-24 00:09:37.649
128.82360327324912,2024-06-24 01:09:32.800
127.45452097520865,2024-06-24 02:07:50.305
126.7601619567001,2024-06-24 03:08:32.148
126.31196328291807,2024-06-24 04:07:23.173
126.02377373135131,2024-06-24 05:10:17.398
124.21626703806996,2024-06-24 06:08:00.578
124.55720018563535,2024-06-24 07:10:17.012
125.11711821663222,2024-06-24 08:03:22.128
125.57849860500633,2024-06-24 09:09:31.960
125.99736576596693,2024-06-24 10:03:23.620
127.12177434985071,2024-06-24 11:08:11.995
127.06799627354387,2024-06-24 12:04:59.402
127.69042174771786,2024-06-24 13:07:52.375
129.23283989095333,2024-06-24 14:02:55.428
128.55649685589378,2024-06-24 15:05:57.322
125.84741742139678,2024-06-24 16:02:38.036
127.86340009525783,2024-06-24 17:10:20.987
127.89568103435923,2024-06-24 18:05:23.977
129.91251051367155,2024-06-24 19:04:08.973
127.94114901299194,2024-06-24 20:08:20.988
128.7326208828628,2024-06-24 21:06:29.964
131.01458169572592,2024-06-24 22:05:40.044
130.1012868485674,2024-06-24 23:01:25.396
132.26722650105737,2024-06-25 00:07:28.787
132.180013420159,2024-06-25 01:04:14.421
132.02925721470194,2024-06-25 02:04:58.189
132.70465242728972,2024-06-25 03:00:56.316
135.68869773597547,2024-06-25 04:04:40.242
136.19861354571236,2024-06-25 05:05:55.533
135.57941961631585,2024-06-25 06:07:29.559
135.89297196786362,2024-06-25 07:00:20.200
134.88955217044332,2024-06-25 08:01:51.684
134.06217490680027,2024-06-25 09:05:15.203
137.01747571990327,2024-06-25 10:09:33.074
138.6498688221903,2024-06-25 11:04:32.454
137.80069585890237,2024-06-25 12:01:15.617
136.77098811511223,2024-06-25 13:07:14.175
137.00323672783261,2024-06-25 14:05:40.774
138.07284579267403,2024-06-25 15:07:27.781
139.31293450113833,2024-06-25 16:05:36.296
137.66703676215323,2024-06-25 17:09:14.152
137.07281461151643,2024-06-25 18:10:17.110
139.14142463508844,2024-06-25 19:07:59.172
138.73841851064407,2024-06-25 20:07:45.086
138.10084647380984,2024-06-25 21:09:18.814
137.73755046158752,2024-06-25 22:06:53.676
136.8958460654614,2024-06-25 23:05:34.810
136.58656226714044,2024-06-26 00:04:15.665
136.41202563508787,2024-06-26 01:04:52.508
138.9297963885404,2024-06-26 02:03:15.397
138.89324655525346,2024-06-26 03:01:55.377
138.40086261417306,2024-06-26 04:02:06.844
136.87263776244833,2024-06-26 05:06:23.001
136.92288104003356,2024-06-26 06:08:50.248
136.94406956849318,2024-06-26 07:08:24.963
137.91192731435467,2024-06-26 08:04:18.318
136.66787614329294,2024-06-26 09:02:44.655
136.90772364639568,2024-06-26 10:06:31.238
136.75997968880486,2024-06-26 11:00:48.846
136.93322305647615,2024-06-26 12:00:46.314
136.8479671434281,2024-06-26 13:06:05.960
138.75776903669558,2024-06-26 14:02:58.754
138.0192311581208,2024-06-26 15:02:36.935
136.80595143044974,2024-06-26 16:02:54.168
135.8521854509875,2024-06-26 17:05:35.804
135.8419923530113,2024-06-26 18:09:51.873
135.5950587346747,2024-06-26 19:02:16.888
137.8238410127657,2024-06-26 20:09:18.392
137.05127060624585,2024-06-26 21:05:20.062
137.27914318216256,2024-06-26 22:08:29.566
137.35685171044975,2024-06-26 23:04:14.864
136.4415134350111,2024-06-27 00:00:14.157
136.6124374170584,2024-06-27 01:10:47.441
136.6022457963105,2024-06-27 02:03:10.530
136.63148972524985,2024-06-27 03:03:40.396
137.26241962117018,2024-06-27 04:00:35.360
136.91663459460915,2024-06-27 05:04:33.476
136.0502277518116,2024-06-27 06:05:30.989
135.74840871279426,2024-06-27 07:09:24.701
135.7965646780883,2024-06-27 08:04:09.292
136.28966437881306,2024-06-27 09:05:01.259
138.12832334150482,2024-06-27 10:11:01.801
138.49106163605146,2024-06-27 11:07:08.165
139.25529785785199,2024-06-27 12:08:33.730
139.49621195042576,2024-06-27 13:01:53.679
148.01435313576394,2024-06-27 14:01:21.805
147.65593054845962,2024-06-27 15:01:57.861
147.68971379127086,2024-06-27 16:11:48.714
147.67266243445692,2024-06-27 17:05:15.931
147.92259256981592,2024-06-27 18:10:00.109
148.56794408158544,2024-06-27 19:02:59.722
148.30823172337455,2024-06-27 20:05:31.594
149.23713285512994,2024-06-27 21:03:47.123
149.61295839080526,2024-06-27 22:10:22.299
150.01382424719918,2024-06-27 23:06:51.840
149.23075419544415,2024-06-28 00:01:42.129
147.38046274612626,2024-06-28 01:09:46.892
148.67133612509363,2024-06-28 02:07:40.254
146.82584931894817,2024-06-28 03:14:44.132
147.15833458118715,2024-06-28 04:08:54.761
146.01374569326796,2024-06-28 05:05:41.105
144.13960477422603,2024-06-28 06:03:10.179
144.86118278817867,2024-06-28 07:11:15.111
144.89354015706198,2024-06-28 08:02:00.561
145.1789095617154,2024-06-28 09:09:32.111
145.67702088449136,2024-06-28 10:05:56.341
144.902858619583,2024-06-28 11:00:24.175
145.52105592992984,2024-06-28 12:09:13.587
143.85711870986964,2024-06-28 13:10:11.729
143.138505811715,2024-06-28 14:04:47.644
141.46332580762956,2024-06-28 15:11:41.888
143.36105419040055,2024-06-28 16:03:24.075
142.6236973849532,2024-06-28 17:03:26.771
141.13652618411035,2024-06-28 18:00:37.372
141.16115573747723,2024-06-28 19:06:31.999
140.99145708371128,2024-06-28 20:10:46.006
139.99775944785705,2024-06-28 21:06:56.819
140.32855888733778,2024-06-28 22:08:45.389
139.79459756468287,2024-06-28 23:10:40.728
139.9113649001729,2024-06-29 00:08:59.913
141.01169787895375,2024-06-29 01:04:20.601
142.02548179847912,2024-06-29 02:08:44.730
141.66944355534065,2024-06-29 03:02:51.540
141.53868417796548,2024-06-29 04:03:18.009
141.1878175350994,2024-06-29 05:00:48.683
140.47156187834528,2024-06-29 06:03:18.649
141.16669606642247,2024-06-29 07:09:39.016
141.77847755486752,2024-06-29 08:10:44.317
141.7559961678852,2024-06-29 09:10:50.517
142.40418277810682,2024-06-29 10:03:57.121
142.45998738687555,2024-06-29 11:03:27.024
142.38692819444793,2024-06-29 12:00:46.376
141.9318358655879,2024-06-29 13:00:22.525
142.0221688075983,2024-06-29 14:10:36.917
141.6003571311262,2024-06-29 15:02:38.973
142.47022855349334,2024-06-29 16:01:52.816
141.98365492262334,2024-06-29 17:05:05.034
141.8967241877143,2024-06-29 18:09:08.518
141.67735251958388,2024-06-29 19:03:14.868
141.46981905080386,2024-06-29 20:05:39.586
140.72572205048826,2024-06-29 21:10:29.018
140.5606657931014,2024-06-29 22:04:15.702
140.02849032524517,2024-06-29 23:08:04.270
139.98926651580265,2024-06-30 00:02:22.385
140.40205582393793,2024-06-30 01:06:49.489
139.88641631816924,2024-06-30 02:04:57.544
138.6157816407311,2024-06-30 03:06:01.257
137.73267401542014,2024-06-30 04:07:23.371
137.3684159321887,2024-06-30 05:03:31.715
137.36511677065036,2024-06-30 06:08:15.427
139.1841363813486,2024-06-30 07:07:46.837
140.45935483814498,2024-06-30 08:03:54.813
141.0265623606719,2024-06-30 09:05:02.904
140.7161852910176,2024-06-30 10:01:21.134
140.41640613820746,2024-06-30 11:01:56.066
140.92427684946793,2024-06-30 12:02:18.387
140.70166354786062,2024-06-30 13:00:57.946
142.10105349089753,2024-06-30 14:03:53.500
142.00386347331468,2024-06-30 15:02:30.087
143.59394329632167,2024-06-30 16:08:28.451
142.99500380385487,2024-06-30 17:02:28.079
143.82270799925544,2024-06-30 18:08:04.304
145.31898933921863,2024-06-30 19:02:14.516
144.604271942995,2024-06-30 20:06:46.566
144.33825919617772,2024-06-30 21:01:38.518
144.1194549121156,2024-06-30 22:00:13.393
146.90031433396936,2024-06-30 23:05:39.146
146.2824771967103,2024-07-01 00:07:30.967
147.614442637225,2024-07-01 01:04:42.639
148.10212046402324,2024-07-01 02:02:02.208
147.11958413861777,2024-07-01 03:02:09.191
147.43945464981837,2024-07-01 04:01:35.148
147.29438013353592,2024-07-01 05:04:27.702
147.84051680348432,2024-07-01 06:09:08.898
147.52231633996567,2024-07-01 07:09:25.389
148.10545084608202,2024-07-01 08:03:08.230
147.3779843960396,2024-07-01 09:05:34.333
147.56708329677411,2024-07-01 10:03:59.201
146.41762661920805,2024-07-01 11:07:25.936
145.89279035399161,2024-07-01 12:06:18.903
147.17849947004672,2024-07-01 13:02:11.335
147.029511223201,2024-07-01 14:12:02.594
147.79671604107875,2024-07-01 15:09:47.920
148.5763380622857,2024-07-01 16:05:28.437
147.67845692895037,2024-07-01 17:04:33.657
148.45279214459453,2024-07-01 18:10:45.866
